Registration id|Subject|Monday|Tuesday|Wednesday|Thursday|Friday|


bsse02163133|DSA|P|P|P|P|P|
bsse02163134|DSA|P|P|P|P|P|
bsse02163135|DSA|P|P|P|P|P|
bsse02163136|DSA|P|P|P|P|P|
bsse02163137|DSA|P|P|P|P|P|
bsse02163138|DSA|P|P|P|P|P|
bsse02163139|DSA|P|P|P|P|P|
bsse02163140|DSA|P|P|P|P|P|
bsse02163141|DSA|P|P|P|P|P|
bsse02163142|DSA|P|P|P|P|P|
bsse02163143|DSA|P|P|P|P|P|
bsse02163144|DSA|P|P|P|P|P|
bsse02163145|DSA|P|P|P|P|P|
bsse02163146|DSA|P|P|P|P|P|
bsse02163147|DSA|P|P|P|P|P|
bsse02163148|DSA|P|P|P|P|P|

bsse02163133|Linear|P|P|P|P|P|
bsse02163134|Linear|P|P|P|P|P|
bsse02163135|Linear|P|P|P|P|P|
bsse02163136|Linear|P|P|P|P|P|
bsse02163137|Linear|P|P|P|P|P|
bsse02163138|Linear|P|P|P|P|P|
bsse02163139|Linear|P|P|P|P|P|
bsse02163140|Linear|P|P|P|P|P|
bsse02163141|Linear|P|P|P|P|P|
bsse02163142|Linear|P|P|P|P|P|
bsse02163143|Linear|P|P|P|P|P|
bsse02163144|Linear|P|P|P|P|P|
bsse02163145|Linear|P|P|P|P|P|
bsse02163146|Linear|P|P|P|P|P|
bsse02163147|Linear|P|P|P|P|P|
bsse02163148|Linear|P|P|P|P|P|

bsse02163133|HRM|P|P|P|P|P|
bsse02163134|HRM|P|P|P|P|P|
bsse02163135|HRM|P|P|P|P|P|
bsse02163136|HRM|P|P|P|P|P|
bsse02163137|HRM|P|P|P|P|P|
bsse02163138|HRM|P|P|P|P|P|
bsse02163139|HRM|P|P|P|P|P|
bsse02163140|HRM|P|P|P|P|P|
bsse02163141|HRM|P|P|P|P|P|
bsse02163142|HRM|P|P|P|P|P|
bsse02163143|HRM|P|P|P|P|P|
bsse02163144|HRM|P|P|P|P|P|
bsse02163145|HRM|P|P|P|P|P|
bsse02163146|HRM|P|P|P|P|P|
bsse02163147|HRM|P|P|P|P|P|
bsse02163148|HRM|P|P|P|P|P|

bsse02163133|PP|P|P|P|P|P|
bsse02163134|PP|P|P|P|P|P|
bsse02163135|PP|P|P|P|P|P|
bsse02163136|PP|P|P|P|P|P|
bsse02163137|PP|P|P|P|P|P|
bsse02163138|PP|P|P|P|P|P|
bsse02163139|PP|P|P|P|P|P|
bsse02163140|PP|P|P|P|P|P|
bsse02163141|PP|P|P|P|P|P|
bsse02163142|PP|P|P|P|P|P|
bsse02163143|PP|P|P|P|P|P|
bsse02163144|PP|P|P|P|P|P|
bsse02163145|PP|P|P|P|P|P|
bsse02163146|PP|P|P|P|P|P|
bsse02163147|PP|P|P|P|P|P|
bsse02163148|PP|P|P|P|P|P|
bsse02163133|Java|P|P|P|P|P|
bsse02163134|Java|P|P|P|P|P|
bsse02163135|Java|P|P|P|P|P|
bsse02163136|Java|P|P|P|P|P|
bsse02163137|Java|P|P|P|P|P|
bsse02163138|Java|A|a|P|P|P|
bsse02163139|Java|P|P|P|P|P|
bsse02163140|Java|P|P|P|P|P|
bsse02163141|Java|P|P|P|P|P|
bsse02163142|Java|P|P|P|P|P|
bsse02163143|Java|P|P|P|P|P|
bsse02163144|Java|P|P|P|P|P|
bsse02163145|Java|P|P|P|P|P|
bsse02163146|Java|P|P|P|P|P|
bsse02163147|Java|P|P|P|P|P|
bsse02163148|Java|P|P|P|P|P|

bsse02163133|Java|P|P|P|P|P|
bsse02163134|Java|P|P|P|P|P|
bsse02163135|Java|P|P|P|P|P|
bsse02163136|Java|P|P|P|P|P|
bsse02163137|Java|P|P|P|P|P|
bsse02163138|Java|A|A|A|P|P|
bsse02163139|Java|P|P|P|P|P|
bsse02163140|Java|P|P|P|P|P|
bsse02163141|Java|P|P|P|P|P|
bsse02163142|Java|P|P|P|P|P|
bsse02163143|Java|P|P|P|P|P|
bsse02163144|Java|P|P|P|P|P|
bsse02163145|Java|P|P|P|P|P|
bsse02163146|Java|P|P|P|P|P|
bsse02163147|Java|P|P|P|P|P|
bsse02163148|Java|P|P|P|P|P|
